,Image,Object ID,Object type,Name,Classification,Parent,ROI,Centroid X µm,Centroid Y µm,Nucleus: Area,Nucleus: Perimeter,Nucleus: Circularity,Nucleus: Max caliper,Nucleus: Min caliper,Nucleus: Eccentricity,Nucleus: Hematoxylin OD mean,Nucleus: Hematoxylin OD sum,Nucleus: Hematoxylin OD std dev,Nucleus: Hematoxylin OD max,Nucleus: Hematoxylin OD min,Nucleus: Hematoxylin OD range,Nucleus: Eosin OD mean,Nucleus: Eosin OD sum,Nucleus: Eosin OD std dev,Nucleus: Eosin OD max,Nucleus: Eosin OD min,Nucleus: Eosin OD range
372181,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,03f8fb25-7827-45d2-955e-ce47d909c5ff,Cell,,,Annotation,Polygon,9265.7,11044.2,40.5,23.9257,0.8891,9.2155,6.1269,0.7565,0.9332,153.9735,0.167,1.3293,0.3519,0.9775,0.7309,120.5954,0.1625,1.0487,0.134,0.9147
372183,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,d3f84ac7-8991-4983-bec1-f84cfca8a292,Cell,,,Annotation,Polygon,9554.2,11044.0,58.75,33.1693,0.671,11.8153,7.5267,0.7751,0.8592,205.3483,0.1503,1.204,0.3715,0.8325,0.7038,168.1971,0.1046,0.9406,0.332,0.6086
372186,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,1fe8927e-73d7-4ff1-ac3f-9c521049bd14,Cell,,,Annotation,Polygon,9233.2,11042.9,56.25,32.7072,0.6608,12.1922,6.7766,0.8491,0.843,193.0356,0.2021,1.4471,0.4251,1.022,0.7071,161.9245,0.143,1.0275,0.0316,0.9959
372190,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,059090dd-f031-460c-9a22-0c09e0ceedba,Cell,,,Annotation,Polygon,9188.2,11045.4,52.25,32.1967,0.6334,12.5983,5.7846,0.9154,0.8227,173.5898,0.1654,1.1761,0.4259,0.7502,0.6936,146.3392,0.1303,1.0516,0.2481,0.8035
372210,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,845dff8b-1521-463d-b6fe-7509c8ec1758,Cell,,,Annotation,Polygon,9161.4,11049.1,60.75,33.9687,0.6616,10.9517,8.2996,0.646,0.8291,202.3017,0.1839,1.3122,0.3308,0.9814,0.6353,155.0205,0.2031,1.0795,-0.0281,1.1076
372215,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,a201fda9-d27a-4ef3-8d81-77943681910b,Cell,,,Annotation,Polygon,9133.8,11049.1,40.0,23.9465,0.8766,9.1913,5.5,0.7957,0.8507,138.6571,0.1508,1.1577,0.2956,0.8621,0.6528,106.4104,0.1544,0.8515,0.091,0.7605
372218,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,9edc2ac9-7ce6-4aa8-a1b2-088e5d0cbd51,Cell,,,Annotation,Polygon,9535.4,11046.9,49.5,29.4912,0.7152,11.4858,6.7365,0.8201,0.8541,170.8104,0.1655,1.2213,0.1555,1.0658,0.6584,131.6812,0.217,0.9686,-0.106,1.0746
372223,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,f2a026f2-2e08-49ba-94a5-7af2da3f00f4,Cell,,,Annotation,Polygon,9730.1,11050.4,40.0,27.4026,0.6694,10.936,5.5103,0.8773,0.9033,147.2423,0.2494,1.4984,0.243,1.2554,0.757,123.3852,0.2157,1.2372,0.1915,1.0457
372227,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,6e3f2e70-c21b-4e79-ab65-1a384052043a,Cell,,,Annotation,Polygon,9570.2,11054.8,76.25,39.933,0.6009,13.3005,9.264,0.7764,0.8139,250.6706,0.139,1.0836,0.381,0.7027,0.686,211.3031,0.1125,0.9616,0.1186,0.843
372237,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,7de34776-754d-4835-a164-644a806508a7,Cell,,,Annotation,Polygon,9676.7,11051.6,55.5,37.1317,0.5058,12.5819,7.2058,0.8398,0.9023,203.9277,0.1559,1.2949,0.2988,0.9962,0.6931,156.6422,0.1577,1.0939,0.2793,0.8145
372239,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,912305b0-5ac2-4fe5-ba3b-bb0bb0a4b136,Cell,,,Annotation,Polygon,9529.7,11054.2,62.5,37.0405,0.5724,12.1373,9.5292,0.7152,0.8737,220.173,0.1308,1.1407,0.4945,0.6462,0.7304,184.0717,0.1118,0.9772,0.343,0.6342
372253,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,ba629f3c-7956-4fe9-b7f9-14788e98510e,Cell,,,Annotation,Polygon,9022.4,11054.9,40.5,26.9734,0.6995,10.3357,6.1758,0.8508,0.8757,147.1164,0.1645,1.2122,0.3326,0.8796,0.7185,120.7047,0.1612,1.074,0.1255,0.9485
372262,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,0d036531-37f1-4f68-ac78-2a945c278d7e,Cell,,,Annotation,Polygon,9699.9,11059.3,54.0,26.8769,0.9394,9.1731,7.8171,0.4735,0.9316,202.1614,0.159,1.3662,0.355,1.0112,0.6843,148.4998,0.1981,1.2473,-0.2017,1.449
372268,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,37ee6175-54fb-4e25-bcda-2f4ff600b0b0,Cell,,,Annotation,Polygon,9011.3,11061.7,41.25,27.3467,0.6931,10.7491,5.1503,0.8817,0.8352,141.1494,0.1745,1.237,0.3496,0.8874,0.7425,125.4839,0.1282,1.0009,0.1926,0.8084
372284,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,6dce78ef-1b65-438a-bda5-dcd88d34f62e,Cell,,,Annotation,Polygon,9526.0,11067.2,78.0,37.9638,0.6801,11.899,10.0483,0.5889,0.9431,297.07,0.168,1.3131,0.4433,0.8698,0.7368,232.0824,0.1558,1.0668,0.101,0.9659
372300,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,37ad5709-07bb-4f3f-9adb-34b9b207f644,Cell,,,Annotation,Polygon,9209.8,11068.7,65.25,35.5208,0.6499,12.6577,8.5191,0.7537,0.9204,242.0642,0.1614,1.3169,0.1944,1.1225,0.6603,173.6631,0.1695,0.9919,-0.0029,0.9949
372312,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,41d065b3-fcdb-409a-bedc-6429e0529806,Cell,,,Annotation,Polygon,9220.3,11072.4,41.75,25.7324,0.7923,8.9368,6.7675,0.7246,0.8163,135.5011,0.1626,1.2286,0.4101,0.8185,0.6669,110.6989,0.1543,1.0094,0.1342,0.8751
372323,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,fe3efac9-ffbe-4230-b096-2b058b66f0cb,Cell,,,Annotation,Polygon,9186.3,11076.4,39.25,25.0657,0.785,10.3561,5.0736,0.8765,0.7814,125.8106,0.2058,1.2362,0.3135,0.9227,0.5698,91.7378,0.1725,0.9265,0.1061,0.8205
372325,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,e4b5ee91-a909-417f-a909-f5a75e40442c,Cell,,,Annotation,Polygon,9787.3,11077.0,39.0,26.8286,0.6809,9.5478,6.1613,0.7293,0.8393,133.4417,0.1635,1.1881,0.4296,0.7586,0.7406,117.7505,0.107,0.9592,0.3771,0.5821
372348,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,67175aab-1c88-419e-8d16-1f4b22d7f10a,Cell,,,Annotation,Polygon,9240.7,11082.4,40.0,23.4369,0.9151,8.7088,6.0,0.697,0.8664,140.353,0.1947,1.4138,0.3508,1.063,0.6972,112.9426,0.225,1.0762,-0.0646,1.1407
372372,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,42437db3-ec2d-46be-9f18-d6157008c78c,Cell,,,Annotation,Polygon,9533.7,11093.2,70.5,40.7907,0.5324,15.0636,8.0903,0.8409,0.7889,226.4166,0.2162,1.2883,0.2248,1.0635,0.6422,184.3213,0.1401,0.9412,0.0601,0.8811
372383,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,99994917-97d6-4aff-ad78-faa0e95381ba,Cell,,,Annotation,Polygon,9232.1,11095.3,75.75,37.2994,0.6842,13.8303,8.9906,0.683,0.867,268.7824,0.1704,1.2699,0.3401,0.9298,0.6457,200.177,0.1747,0.9967,-0.1375,1.1342
372446,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,01d4a8e7-b275-40b1-99fb-e0657aba452a,Cell,,,Annotation,Polygon,9656.3,11113.4,45.5,34.9074,0.4692,12.48,6.9898,0.8806,0.8475,159.3393,0.2143,1.4051,0.0861,1.319,0.6854,128.8523,0.2126,1.1808,-0.1321,1.3129
372534,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,5683d8e9-4e78-4731-8d1c-5970823a7878,Cell,,,Annotation,Polygon,9251.3,11158.5,69.5,35.2808,0.7016,11.6362,8.8177,0.6914,0.8186,227.5588,0.2035,1.2737,0.258,1.0156,0.7042,195.7724,0.1568,1.1871,0.2583,0.9288
372561,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,6c55f066-c2c6-47bb-889e-29175cca4251,Cell,,,Annotation,Polygon,9071.9,11165.4,47.25,27.3885,0.7915,9.6983,6.8252,0.6927,0.7674,145.812,0.174,1.1812,0.1554,1.0258,0.6802,129.2431,0.1214,1.0226,0.3355,0.6871
372568,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,594931b4-30c9-4c49-90e0-62654c226250,Cell,,,Annotation,Polygon,9267.8,11167.9,61.5,32.0375,0.753,10.9734,8.4285,0.6871,0.9623,244.436,0.1674,1.3411,0.3857,0.9554,0.7465,189.6129,0.2243,1.4642,0.0448,1.4194
372575,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,d8d675b5-d2f5-47ef-b75d-f5f730788e1e,Cell,,,Annotation,Polygon,9528.4,11168.1,63.25,36.0341,0.6121,14.145,7.3496,0.8726,0.7845,200.0398,0.17,1.2448,0.2571,0.9877,0.6094,155.3931,0.2068,0.8828,-0.0962,0.979
372576,TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs,5220cce4-9f06-433f-8b25-13f99f32ec82,Cell,,,Annotation,Polygon,9866.1,11167.7,65.0,38.0753,0.5634,16.2506,5.6191,0.943,0.7954,208.3903,0.123,1.099,0.3976,0.7014,0.6807,178.333,0.1426,0.8921,-0.2039,1.0959
